league,split,date,week,game,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,result
LCK,2018-2,43264.28487,1.2,2,Red,Jungle,Rush,KT Rolster,Nocturne,Taliyah,Vladimir,Rakan,Ezreal,Lucian,1
LCK,2018-2,43264.28487,1.2,2,Red,Middle,Ucal,KT Rolster,Lulu,Taliyah,Vladimir,Rakan,Ezreal,Lucian,1
LCK,2018-2,43264.28487,1.2,2,Red,ADC,Deft,KT Rolster,Mordekaiser,Taliyah,Vladimir,Rakan,Ezreal,Lucian,1
LCK,2018-2,43264.28487,1.2,2,Red,Support,Mata,KT Rolster,Ornn,Taliyah,Vladimir,Rakan,Ezreal,Lucian,1
LCK,2018-2,43264.28487,1.2,2,Blue,Team,Team,Jin Air Green Wings, ,Graves,Camille,Zoe,Renekton,Shen,0
LCK,2018-2,43264.28487,1.2,2,Red,Team,Team,KT Rolster, ,Taliyah,Vladimir,Rakan,Ezreal,Lucian,1
LCK,2018-2,43265.10543,1.3,1,Blue,Top,Lindarang,Hanwha Life Esports,Ornn,Lucian,Master Yi,Lulu,Olaf,Graves,1
LCK,2018-2,43265.10543,1.3,1,Blue,Jungle,SeongHwan,Hanwha Life Esports,Nocturne,Lucian,Master Yi,Lulu,Olaf,Graves,1
LCK,2018-2,43265.10543,1.3,1,Blue,Middle,Lava,Hanwha Life Esports,Taliyah,Lucian,Master Yi,Lulu,Olaf,Graves,1
LCK,2018-2,43265.10543,1.3,1,Blue,ADC,Sangyoon,Hanwha Life Esports,Ryze,Lucian,Master Yi,Lulu,Olaf,Graves,1
LCK,2018-2,43265.10543,1.3,1,Blue,Support,Key,Hanwha Life Esports,Tahm Kench,Lucian,Master Yi,Lulu,Olaf,Graves,1
LCK,2018-2,43265.10543,1.3,1,Red,Top,Crazy,BBQ Olivers,Shen,Yasuo,Irelia,Alistar,Soraka,Fiddlesticks,0
LCK,2018-2,43265.10543,1.3,1,Red,Jungle,Bono,BBQ Olivers,Camille,Yasuo,Irelia,Alistar,Soraka,Fiddlesticks,0
LCK,2018-2,43265.10543,1.3,1,Red,Middle,Tempt,BBQ Olivers,Zoe,Yasuo,Irelia,Alistar,Soraka,Fiddlesticks,0
LCK,2018-2,43265.10543,1.3,1,Red,ADC,Aries,BBQ Olivers,Vladimir,Yasuo,Irelia,Alistar,Soraka,Fiddlesticks,0
LCK,2018-2,43265.10543,1.3,1,Red,Support,IgNar,BBQ Olivers,Pyke,Yasuo,Irelia,Alistar,Soraka,Fiddlesticks,0
LCK,2018-2,43265.10543,1.3,1,Blue,Team,Team,Hanwha Life Esports, ,Lucian,Master Yi,Lulu,Olaf,Graves,1
LCK,2018-2,43265.10543,1.3,1,Red,Team,Team,BBQ Olivers, ,Yasuo,Irelia,Alistar,Soraka,Fiddlesticks,0
LCK,2018-2,43265.15869,1.3,2,Blue,Top,Crazy,BBQ Olivers,Camille,Irelia,Yasuo,Nocturne,Tahm Kench,Graves,0
LCK,2018-2,43265.15869,1.3,2,Blue,Jungle,Bono,BBQ Olivers,Nunu,Irelia,Yasuo,Nocturne,Tahm Kench,Graves,0
LCK,2018-2,43265.15869,1.3,2,Blue,Middle,Tempt,BBQ Olivers,Karthus,Irelia,Yasuo,Nocturne,Tahm Kench,Graves,0
LCK,2018-2,43265.15869,1.3,2,Blue,ADC,Aries,BBQ Olivers,Vladimir,Irelia,Yasuo,Nocturne,Tahm Kench,Graves,0
LCK,2018-2,43265.15869,1.3,2,Blue,Support,IgNar,BBQ Olivers,Shen,Irelia,Yasuo,Nocturne,Tahm Kench,Graves,0
LCK,2018-2,43265.15869,1.3,2,Red,Top,Lindarang,Hanwha Life Esports,Darius,Taliyah,Master Yi,Zoe,Kennen,Pyke,1
LCK,2018-2,43265.15869,1.3,2,Red,Jungle,SeongHwan,Hanwha Life Esports,Olaf,Taliyah,Master Yi,Zoe,Kennen,Pyke,1
LCK,2018-2,43265.15869,1.3,2,Red,Middle,Lava,Hanwha Life Esports,Lulu,Taliyah,Master Yi,Zoe,Kennen,Pyke,1
LCK,2018-2,43265.15869,1.3,2,Red,ADC,Sangyoon,Hanwha Life Esports,Ryze,Taliyah,Master Yi,Zoe,Kennen,Pyke,1
LCK,2018-2,43265.15869,1.3,2,Red,Support,Key,Hanwha Life Esports,Soraka,Taliyah,Master Yi,Zoe,Kennen,Pyke,1
LCK,2018-2,43265.15869,1.3,2,Blue,Team,Team,BBQ Olivers, ,Irelia,Yasuo,Nocturne,Tahm Kench,Graves,0
LCK,2018-2,43265.15869,1.3,2,Red,Team,Team,Hanwha Life Esports, ,Taliyah,Master Yi,Zoe,Kennen,Pyke,1
LCK,2018-2,43265.19748,1.3,1,Blue,Top,ADD,MVP,Singed,Shen,Taliyah,Master Yi,Soraka,Rakan,0
LCK,2018-2,43265.19748,1.3,1,Blue,Jungle,Yondu,MVP,Camille,Shen,Taliyah,Master Yi,Soraka,Rakan,0
LCK,2018-2,43265.19748,1.3,1,Blue,Middle,Ian,MVP,Zoe,Shen,Taliyah,Master Yi,Soraka,Rakan,0
LCK,2018-2,43265.19748,1.3,1,Blue,ADC,MaHa,MVP,Ezreal,Shen,Taliyah,Master Yi,Soraka,Rakan,0
