league,split,week,game,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,result
LPL,2018-2,5,1,Blue,ADC,Snow,Vici Gaming,Jhin,Zoe,Swain,Taliyah,Shen,Dr. Mundo,0
LPL,2018-2,5,1,Blue,Jungle,Swift,Vici Gaming,Gragas,Zoe,Swain,Taliyah,Shen,Dr. Mundo,0
LPL,2018-2,5,1,Blue,Middle,FireRain,Vici Gaming,Galio,Zoe,Swain,Taliyah,Shen,Dr. Mundo,0
LPL,2018-2,5,1,Blue,Support,Caveman,Vici Gaming,Tahm Kench,Zoe,Swain,Taliyah,Shen,Dr. Mundo,0
LPL,2018-2,5,1,Blue,Top,Aodi,Vici Gaming,Camille,Zoe,Swain,Taliyah,Shen,Dr. Mundo,0
LPL,2018-2,5,1,Red,ADC,iBOY,Edward Gaming,Ashe,Talon,Aatrox,Nidalee,Varus,Ornn,1
LPL,2018-2,5,1,Red,Jungle,Haro,Edward Gaming,Kindred,Talon,Aatrox,Nidalee,Varus,Ornn,1
LPL,2018-2,5,1,Red,Middle,Scout,Edward Gaming,Vladimir,Talon,Aatrox,Nidalee,Varus,Ornn,1
LPL,2018-2,5,1,Red,Support,meiko,Edward Gaming,Rakan,Talon,Aatrox,Nidalee,Varus,Ornn,1
LPL,2018-2,5,1,Red,Top,ray,Edward Gaming,Poppy,Talon,Aatrox,Nidalee,Varus,Ornn,1
LPL,2018-2,5,2,Blue,ADC,Snow,Vici Gaming,Morgana,Zoe,Lucian,Galio,Varus,Ashe,0
LPL,2018-2,5,2,Blue,Jungle,Swift,Vici Gaming,Taliyah,Zoe,Lucian,Galio,Varus,Ashe,0
LPL,2018-2,5,2,Blue,Middle,FireRain,Vici Gaming,Yasuo,Zoe,Lucian,Galio,Varus,Ashe,0
LPL,2018-2,5,2,Blue,Support,Caveman,Vici Gaming,Pyke,Zoe,Lucian,Galio,Varus,Ashe,0
LPL,2018-2,5,2,Blue,Top,Aodi,Vici Gaming,Darius,Zoe,Lucian,Galio,Varus,Ashe,0
LPL,2018-2,5,2,Red,ADC,iBOY,Edward Gaming,Ezreal,Aatrox,Talon,Nidalee,Ornn,Alistar,1
LPL,2018-2,5,2,Red,Jungle,Haro,Edward Gaming,Kindred,Aatrox,Talon,Nidalee,Ornn,Alistar,1
LPL,2018-2,5,2,Red,Middle,Scout,Edward Gaming,Swain,Aatrox,Talon,Nidalee,Ornn,Alistar,1
LPL,2018-2,5,2,Red,Support,meiko,Edward Gaming,Soraka,Aatrox,Talon,Nidalee,Ornn,Alistar,1
